idx,orig_label,text,top_tokens_orig,text_no_punct,top_tokens_no_punct,stability_no_punct,text_no_stopwords,top_tokens_no_stopwords,stability_no_stopwords
70,positive,"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .","growing, currently, cent, ., ,",India s trade with Russia currently stands at four billion dollars growing 96 per cent in fiscal 2007,"growing, stands, 96, at, per",0.2,"India ' s trade Russia currently stands four billion dollars, growing 9. 6 per cent fiscal 2007.","growing, fiscal, cent, stands, ,",0.6
71,neutral,The value of the contracts is about EUR 3.3 mn .,"is, ., value, about, of",The value of the contracts is about EUR 33 mn,"is, of, value, about, 33",0.8,value contracts about EUR 3. 3 mn.,"about, contracts, mn, r, .",0.4
72,positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .","increased, from, compared, period, sales",Both operating profit and net sales for the 12month period increased respectively from EUR21 5 m and EUR196 1 m as compared to 2005,"increased, from, compared, sales, 2005",0.8,"Both operating profit net sales 12 - month period increased, respectively EUR21. 5 m EUR196. 1 m, compared 2005.","increased, period, ,, sales, eu",0.6
73,negative,"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .","decreased, from, for, million, said",ADP News Feb 11 2009 Finnish wood products technology supplier Raute Oyj HEL RUTAV said today its net profit decreased to EUR 47 million USD 61 m for 2008 from EUR 66 million for 2007,"decreased, from, today, million, profit",0.6,"( ADP News ) - Feb 11, 2009 - Finnish wood products technology supplier Raute Oyj ( HEL: RUTAV ) said today net profit decreased EUR 4. 7 million ( USD 6. 1 m ) 2008 EUR 6. 6 million 2007.","decreased, net, said, today, .",0.4
74,neutral,"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .","and, for, accounting, equity, about",Metsaliitto will sell 11 million B shares of Neomarkka accounting for about 183 pct of Neomarkka s equity and about 127 pct of the voting rights,"the, and, sell, pc, t",0.2,"Metsaliitto sell 1. 1 million B shares Neomarkka, accounting about 18. 3 pct Neomarkka ' s equity about 12. 7 pct voting rights.","about, ka, accounting, ., neo",0.4
75,negative,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .","loss, reported, net, a, profit",In October UPM reported a thirdquarter net loss of euro86 million 110 million compared with a net profit of euro120 million in 2007,"loss, reported, a, million, net",0.8,"October, UPM reported third - quarter net loss euro86 million $ 110 million compared net profit euro120 million 2007.","loss, net, compared, profit, euro",0.6
76,positive,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .","compared, to, ., total, ,",Cash flow from operations totalled EUR 271 mn compared to a negative EUR 083 mn in the corresponding period in 2008,"compared, to, in, a, mn",0.4,"Cash flow operations totalled EUR 2. 71 mn, compared negative EUR 0. 83 mn corresponding period 2008.","compared, negative, eu, ,, 71",0.4
77,neutral,"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .","is, a, with, ,, ,",Incap headquartered in Oulu Finland is a electronics contract manufacturer with some 750 employees in Finland Estonia and India,"is, with, lu, india, and",0.4,"Incap, headquartered Oulu, Finland, electronics contract manufacturer some 750 employees Finland, Estonia India.","employees, ., headquartered, manufacturer, ,",0.2
78,positive,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .","increase, profit, a, net, quarter",Global sports equipment maker Amer Sports Corp whose brands include Atomic Salomon and Wilson saw a 64 percent increase in thirdquarter net profit to EURO 474 million 65 million on strong sales and cost cuts,"increase, cuts, profit, a, saw",0.6,"Global sports equipment maker Amer Sports Corp., whose brands include Atomic, Salomon Wilson, saw 64 percent increase third - quarter net profit EURO 47. 4 million $ 65 million strong sales cost cuts.","increase, profit, percent, euro, cuts",0.4
79,neutral,"The money will be spread mainly over 2011 and 2012 , the company said .","spread, be, 2011, ,, will",The money will be spread mainly over 2011 and 2012 the company said,"spread, be, said, 2011, will",0.8,"money spread mainly over 2011 2012, company said.","mainly, over, 2011, money, 2012",0.2
80,positive,"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .","sufficient, enable, these, line, ensure",These financing arrangements will enable the company to ensure in line with its treasury policy that it has sufficient financial instruments at its disposal for its potential capital requirements,"line, sufficient, enable, has, these",0.8,"financing arrangements enable company ensure, line treasury policy, sufficient financial instruments disposal potential capital requirements.","line, ensure, treasury, sufficient, company",0.6
81,neutral,"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .","of, of, and, and, includes",Teleste s hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions including HFC hybrid fibrecoaxial xDSL EttH and FttH,"and, the, of, range, of",0.4,"Teleste ' s hybrid TV solution includes components whole process delivering video services consumers content acquisition service creation delivery through range access solutions, including HFC ( hybrid fibre - coaxial ), xDSL, EttH, FttH.","includes, ., ,, ,, including",0.2
82,negative,"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2","loss, profit, slipped, net, net",ADPnews Jul 17 2009 Finlandbased steel maker Rautaruukki Oyj Ruukki HEL RTRKS said today it slipped to a net loss of EUR 184 million USD 2597 m for the first half of 2009 from a net profit of EUR 2,"loss, profit, slipped, it, net",0.8,"ADPnews - Jul 17, 2009 - Finland - based steel maker Rautaruukki Oyj Ruukki HEL: RTRKS said today slipped net loss EUR 184 million USD 259. 7 m first half 2009 net profit EUR 2","loss, eu, today, net, .",0.4
83,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"from, to, rose, r, in",Operating profit rose to EUR 131 mn from EUR 87 mn in the corresponding period in 2007 representing 77 of net sales,"rose, from, to, eu, in",0.8,Operating profit rose EUR 13. 1 mn EUR 8. 7 mn corresponding period 2007 representing 7. 7 % net sales.,"rose, profit, eu, ., r",0.4
84,neutral,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .","and, as, households, ,, catering",The company serves customers in various industries including process and resources industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy and information technology as well as catering and households,"in, and, construction, and, resources",0.2,"company serves customers various industries, including process resources, industrial machinery, architecture, building, construction, electrical, transportation, electronics, chemical, petrochemical, energy, information technology, well catering households.","serves, households, information, chemical, industries",0.2
85,neutral,"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .","., weight, ', `, broker",The broker started UPMKymmene Stora Enso and Sappi with equalweight recommendations and Holmen and Norske Skog with underweight ratings,"weight, equal, ky, recommendations, and",0.2,"broker started UPM - Kymmene, Stora Enso Sappi ` equal - weight ' recommendations Holmen Norske Skog ` underweight ' ratings.","`, ratings, weight, ', under",0.6
86,neutral,"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .","status, is, ., ., of",The reason for this is St Petersburg status as a capital one of the participants in the meeting quoted Chikunov as saying,"status, saying, st, one, is",0.4,"reason St. Petersburg status capital, one participants meeting quoted Chikunov saying.","status, quoted, ku, one, .",0.4
87,neutral,"Its annual capacity is some 10,000 MW .","is, annual, 10, ,, .",Its annual capacity is some 10000 MW,"is, annual, its, 0, 1000",0.4,"annual capacity some 10, 000 MW.","., ,, 10, some, 000",0.6
88,neutral,According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,"and, by, invention, relates, to",According to an posted by the World Intellectual Property Organization The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels,"and, hydro, particularly, present, relates",0.4,According posted World Intellectual Property Organization: ` ` present invention relates hydrocarbons particularly manufacture hydrocarbon components suitable aviation fuels jet fuels blending stocks aviation fuels.,":, `, manufacture, according, `",0.0
89,negative,"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .","decrease, a, from, %, in",Food sales totalled EUR 3235 mn in October 2009 representing a decrease of 55 from October 2008,"decrease, a, in, from, 55",0.8,"Food sales totalled EUR 323. 5 mn October 2009, representing decrease 5. 5 % October 2008.","decrease, %, ,, ., 5",0.4
90,positive,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .","rose, sales, %, to, net",In the reporting period net sales rose by 8 yearonyear to EUR64 3 m due to the business acquisitions realized during the first half of 200809 the effect of which was EUR10 9 m in the review period,"rose, to, sales, 8, review",0.6,"reporting period, net sales rose 8 % year - - year EUR64. 3 m, due business acquisitions realized during first half 2008 - 09, effect which EUR10. 9 m review period.","rose, ., %, business, review",0.4
91,neutral,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","organized, comprises, different, will, .",The order comprises four ball mills which will be organized in two different streams for treating ore in the Pilanesberg platinum mine,"organized, mine, different, be, comprises",0.6,"order comprises four ball mills, which organized two different streams treating ore Pilanesberg platinum mine.","comprises, different, ,, ore, four",0.4
92,neutral,"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .","., ,, be, e, will",The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila s factory at Khopoli near Mumbai,"be, the, undertaken, manufacture, will",0.4,"manufacture CPPs undertaken existing Export Oriented Unit EOU Wartsila ' s factory Khopoli, near Mumbai.","manufacture, war, undertaken, ps, factory",0.0
93,neutral,"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level .","2009, ,, be, 2010, at",In 2010 Sanoma Magazines expects net sales to be at the 2009 level,"be, oma, level, expects, san",0.2,"2010, Sanoma Magazines expects net sales 2009 level.","2009, sales, expects, net, 2010",0.4
94,neutral,"Tyrv+ñinen is of the opinion that the airline has been repeating this for some time already , however .","repeating, opinion, however, n, the",Tyrvñinen is of the opinion that the airline has been repeating this for some time already however,"repeating, inen, time, is, been",0.2,"Tyrv + ñinen opinion airline repeating some time already, however.","airline, opinion, ., some, however",0.4
95,neutral,"The approximately 20,000 dwt vessel has been ordered from India .","., from, been, ordered, the",The approximately 20000 dwt vessel has been ordered from India,"been, from, ordered, india, 0",0.6,"approximately 20, 000 dwt vessel ordered India.","approximately, india, ,, wt, 000",0.0
96,neutral,Technopolis has approximately 130 customer companies in Jyvaskyla .,"has, ., approximately, in, polis",Technopolis has approximately 130 customer companies in Jyvaskyla,"approximately, has, in, polis, ky",0.8,Technopolis approximately 130 customer companies Jyvaskyla.,"approximately, customer, ., j, 130",0.4
97,neutral,Almost two thirds of Olvi 's net sales come from outside Finland .,"of, two, ., vi, '",Almost two thirds of Olvi s net sales come from outside Finland,"s, of, finland, outside, net",0.2,Almost two thirds Olvi ' s net sales come outside Finland.,"s, vi, ol, two, '",0.6
98,neutral,"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights .","o, now, and, the, which",Quartal Oy now owns 2094063 shares in Satama Interactive Plc which represents 519 per cent of the share capital and voting rights,"and, now, y, the, represents",0.6,"Quartal Oy now owns 2, 094, 063 shares Satama Interactive Plc, which represents 5, 19 per cent share capital voting rights.","now, which, represents, y, rights",0.4
99,neutral,"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .","consists, of, ,, in, and",Founded in 1985 Quatrocon s clientele consists of public sector builders central trading companies and major construction firms,"consists, founded, builders, at, construction",0.2,"Founded 1985, Quatrocon ' s clientele consists public sector builders, central trading companies major construction firms.",",, consists, ,, ., construction",0.4
100,positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,"rose, to, by, ., %",Operating profit rose by 269 to EUR 1058 834 million,"rose, to, by, million, operating",0.6,- Operating profit rose 26. 9 % EUR 105. 8 ( 83. 4 ) million.,"rose, profit, %, 26, .",0.6
101,positive,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .","relatively, levels, remain, sales, good",However sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia Atria said,"relatively, however, levels, sales, remain",0.8,"However, sales volumes food industry expected remain relatively good levels Finland Scandinavia, Atria said.","remain, good, sales, relatively, expected",0.8
102,negative,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .","loss, total, compared, operating, eu",Operating loss totalled EUR 40 mn compared to a profit of EUR 86 mn in the second quarter of 2008,"loss, total, compared, a, operating",0.8,"Operating loss totalled EUR 4. 0 mn, compared profit EUR 8. 6 mn second quarter 2008.","loss, compared, total, operating, profit",0.8
103,neutral,"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .","fun, ., would, fishing, players",With five different game modes coop tournaments 4 player splitscreen and multiplayer modes players can have as much fun as they would if they were actually fishing,"fun, can, tournaments, creen, would",0.4,"five different game modes, co - op tournaments, 4 player split - screen multiplayer modes, players much fun they they actually fishing.","fun, they, ,, five, game",0.2
104,negative,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,"reduction, significant, %, moderate, a",These moderate but significant changes resulted in a significant 2432 reduction in the estimated CVD risk,"reduction, significant, 2, risk, a",0.6,moderate significant changes resulted significant 24 - 32 % reduction estimated CVD risk.,"reduction, estimated, %, significant, moderate",0.8
105,neutral,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,"., and, in, over, mainly",Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe,"in, and, in, mainly, oted",0.6,Amanda Capital investments 22 private equity funds over 200 unquoted companies mainly Europe.,"mainly, funds, over, investments, 22",0.4
106,negative,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .","decreased, decreased, by, sales, sales",Sales in Finland decreased by 20 and international sales decreased by 93 in terms of euros and by 151 in terms of local currencies,"decreased, decreased, sales, sales, 20",0.4,"Sales Finland decreased 2. 0 %, international sales decreased 9. 3 % terms euros, 15. 1 % terms local currencies.","decreased, decreased, international, sales, 2",0.4
107,positive,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,"rose, from, to, ., .",Last year s net sales rose to EUR 683 million from EUR 622 million,"rose, to, from, million, r",0.6,Last year ' s net sales rose EUR 68. 3 million EUR 62. 2 million.,"rose, ., sales, 68, r",0.4
108,negative,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .","loss, total, company, eu, the",In Q1 of 2009 the company s operating loss totalled EUR 03 mn compared to a profit of EUR 36 mn in Q1 of 2008,"loss, total, compared, operating, the",0.6,"Q1 2009, company ' s operating loss totalled EUR 0. 3 mn, compared profit EUR 3. 6 mn Q1 2008.","loss, total, compared, s, 0",0.4
109,positive,"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .","up, from, to, ,, loss",Earnings per share EPS amounted to EUR0 98 up from the loss of EUR0 02,"from, up, to, loss, the",0.8,"Earnings per share ( EPS ) amounted EUR0. 98, up loss EUR0. 02.","up, loss, r, per, ,",0.6
110,positive,"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .","higher, ., ,, to, net",Favourable currency rates also contributed to higher net sales CEO Kari Kauniskangas said,"higher, said, ceo, net, rates",0.4,"Favourable currency rates also contributed higher net sales, ' ' CEO Kari Kauniskangas said.","higher, contributed, also, net, sales",0.4
111,negative,"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .","negative, compared, eu, was, .",Net cash flow from operating activities was a negative EUR 31 mn compared to EUR 233 mn in the corresponding period in 2009,"negative, compared, 31, eu, a",0.6,"Net cash flow operating activities negative EUR 3. 1 mn, compared EUR 23. 3 mn corresponding period 2009.","negative, activities, operating, compared, .",0.6
112,neutral,"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .","2002, ,, is, ,, ,",Steek which was set up in 2002 is based in Bordeaux southwestern France,"set, up, is, france, was",0.2,"Steek, which set up 2002, based Bordeaux, southwestern France.","set, ., up, ,, ,",0.2
113,positive,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,"rose, to, from, ., from",Cash flow from operations rose to EUR 527 mn from EUR 156 mn in 2007,"to, rose, from, r, in",0.6,Cash flow operations rose EUR 52. 7 mn EUR 15. 6 mn 2007.,"rose, ., eu, eu, mn",0.4
114,neutral,"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .","at, approved, the, the, mun",The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40000 for the Chairman of the Board EUR 30000 for the Deputy Chairman of the Board and EUR 20000 for other members of the Board,"for, the, members, r, the",0.2,"Annual General Meeting approved yearly remuneration members Board Directors shall remain EUR 40. 000 Chairman Board, EUR 30. 000 Deputy Chairman Board EUR 20. 000 other members Board.",",, shall, directors, ., other",0.0
115,positive,`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',"field, activity, higher, developments, partly",These developments partly reflect the government s higher activity in the field of dividend policy,"higher, s, activity, developments, field",0.8,` ` developments partly reflect government ' s higher activity field dividend policy. ' ',"field, policy, developments, divide, .",0.4
116,neutral,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .","increase, tama, following, this, m",Following this increase Huhtamaki s registered share capital is EUR360 62 m and the number of shares outstanding is 106063320,"increase, tama, following, registered, s",0.6,"Following increase Huhtamaki ' s registered share capital EUR360. 62 m number shares outstanding 106, 063, 320.","increase, tama, following, shares, huh",0.6
117,positive,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .","better, has, true, seen, a",The brokerage said 2006 has seen a true turning point in European steel base prices with better pricing seen carrying through the second quarter of 2006,"better, seen, has, seen, true",0.8,"brokerage said 2006 seen ` true turning point ' European steel base prices, better pricing seen carrying through second quarter 2006.","better, said, true, ., seen",0.6
118,positive,Viking Line manages well with its current ferries .,"well, current, line, with, .",Viking Line manages well with its current ferries,"well, current, manages, with, line",0.8,Viking Line manages well current ferries.,"well, current, ., ferries, manages",0.6
119,negative,Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,"down, to, from, slightly, went",Finnish metal products company Componenta Oyj net profit went slightly down to 251 mln euro 402 mln for the first half of 2008 from 254 mln euro 407 mln for the same period of 2007,"down, from, to, 2008, slightly",0.8,Finnish metal products company Componenta Oyj net profit went slightly down 25. 1 mln euro ( $ 40. 2 mln ) first half 2008 25. 4 mln euro ( $ 40. 7 mln ) same period 2007.,"down, slightly, went, profit, half",0.6
120,neutral,"The total investment necessary will be EUR40m , the company estimated .","be, ., company, will, ,",The total investment necessary will be EUR40m the company estimated,"be, will, necessary, company, the",0.6,"total investment necessary EUR40m, company estimated.","total, estimated, investment, company, necessary",0.2
121,neutral,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,"be, will, live, on, www",An audio webcast will be available live and archived on Cerner s Web site at wwwcernercom,"be, on, will, com, www",0.8,audio webcast available live archived Cerner ' s Web site www. cerner. com.,"ce, ce, s, ., rner",0.0
122,neutral,Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,"economic, tried, to, doing, rs",Mursula said they tried to gather macroeconomic perspective to see how Malaysia was doing,"tried, was, mu, rs, doing",0.6,Mursula said they tried gather macro - economic perspective see how Malaysia doing.,"tried, how, see, mu, said",0.2
123,positive,"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .","from, up, ., led, .",Operating profit totalled EUR 830 mn up from EUR 235 mn yearonyear,"up, from, mn, r, 235",0.4,"Operating profit totalled EUR 83. 0 mn, up EUR 23. 5 mn year - - year.","up, mn, year, ., -",0.4
124,positive,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .","increased, compared, period, ., by",Both operating profit and net sales for the ninemonth period increased respectively by 266 and 34 as compared to the corresponding period in 2006,"increased, compared, sales, for, and",0.4,"Both operating profit net sales nine - month period increased, respectively 26. 6 % 3. 4 %, compared corresponding period 2006.","increased, period, ,, respectively, sales",0.4
125,neutral,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .","is, ne, stock, bought, of",The 10000odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect St Petersburg s high street next to the Vosstaniya Square underground station in the immediate vicinity of Moscow Station,"is, ne, the, next, metre",0.4,"10, 000 - odd square metre plot Stockmann bought Nevsky Center shopping center located Nevsky Prospect, St Petersburg ' s high street, next Vosstaniya Square underground station, immediate vicinity Moscow Station.","bought, located, ,, immediate, s",0.2
126,neutral,UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,"not, has, indicated, ', consolidation",UPMKymmene said its has not indicated any interest in any domestic consolidations,"not, its, indicated, ky, any",0.4,UPM - Kymmene said ` not indicated any interest any domestic consolidations '.,"not, interest, indicated, any, '",0.6
127,neutral,Profit after taxes totaled EUR 12.1 mn .,"totaled, profit, after, r, 1",Profit after taxes totaled EUR 121 mn,"profit, totaled, after, taxes, mn",0.6,Profit after taxes totaled EUR 12. 1 mn.,"totaled, profit, after, r, 1",1.0
128,neutral,"She will succeed Krister Kylas , who has decided to leave TeliaSonera .","will, ,, succeed, ., decided",She will succeed Krister Kylas who has decided to leave TeliaSonera,"will, ra, kris, ky, succeed",0.4,"She succeed Krister Kylas, who decided leave TeliaSonera.","succeed, ,, ky, ., leave",0.6
129,neutral,In 2007 Etteplan reported a turnover of EUR125 .2 m.,"m, 2007, of, 5, pl",In 2007 Etteplan reported a turnover of EUR125 2 m,"of, m, et, te, a",0.4,2007 Etteplan reported turnover EUR125. 2 m.,"m, 2007, ., 5, eu",0.6
130,neutral,A 2001 agreement expired earlier this month .,"expired, this, a, month, 2001",A 2001 agreement expired earlier this month,"expired, month, this, 2001, a",1.0,2001 agreement expired earlier month.,"month, 2001, ., expired, agreement",0.6
131,negative,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,"fell, profit, to, 24, 15",Operating profit fell to EUR 151 mn from EUR 246 mn in 2006,"fell, from, to, eu, r",0.4,Operating profit fell EUR 15. 1 mn EUR 24. 6 mn 2006.,"fell, profit, ., ., r",0.4
132,neutral,Marimekko is considering further measures in the matter .,"matter, is, measures, further, considering",Marimekko is considering further measures in the matter,"matter, measures, further, considering, me",0.8,Marimekko considering further measures matter.,"me, considering, matter, mari, further",0.6
133,neutral,All depends on financing .,"all, depends, financing, ., on",All depends on financing,"on, all, financing, depends",0.8,All depends financing.,"all, financing, depends, .",0.8
134,neutral,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .","of, stock, were, 1, stock",A total of 1800000 stock options were issued in the 2003 stock option scheme,"were, stock, of, option, issued",0.6,"total 1, 800, 000 stock options issued 2003 stock option scheme.","., scheme, 1, ,, issued",0.2
135,neutral,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,"represent, share, %, 5, now",ABN 59 087 901 620 now represent 510 of the voting rights and share capital of Citycon Oyj,"represent, the, of, capital, and",0.2,ABN: 59 087 901 620 now represent 5. 10 % voting rights share capital Citycon Oyj.,"share, represent, city, capital, %",0.6
136,neutral,"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .","part, and, of, russia, of",The development of the technological park which will specialize in telecommunications and information technologies is part of the state program for the formation of technoparks for hitech sectors in Russia,"part, is, the, of, and",0.6,"development technological park, which specialize telecommunications information technologies, part state program formation technoparks hi - tech sectors Russia.","ize, ,, part, which, ,",0.2
137,neutral,The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .,"operates, ., and, and, district",The company operates power plants in the Tyumen and Chelyabinsk regions and in the KhantyMansi Autonomous District,"operates, district, company, and, power",0.6,company operates power plants Tyumen Chelyabinsk regions Khanty - Mansi Autonomous District.,"operates, autonomous, power, company, regions",0.2
138,neutral,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,"., -, and, consists, portfolio",The company s equipment rental portfolio consists primarily of tools for small and midsized customers in the construction industry,"consists, and, zed, portfolio, primarily",0.6,company ' s equipment rental portfolio consists primarily tools small mid - sized customers construction industry.,"consists, portfolio, ., s, equipment",0.6
139,neutral,The building will house product development and test laboratories .,"and, laboratories, product, building, test",The building will house product development and test laboratories,"and, building, product, development, the",0.6,building house product development test laboratories.,"product, test, ., laboratories, house",0.6
140,negative,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .","loss, net, versus, net, swung",In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400000 versus a net profit of EUR 200000 for the corresponding period of fiscal 2007,"loss, a, net, profit, for",0.4,"third quarter fiscal 2008 Efore swung net loss EUR 400, 000 versus net profit EUR 200, 000 corresponding period fiscal 2007.","loss, versus, net, net, profit",0.6
141,neutral,"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .","gradually, be, closed, be, and",In the Czech Republic the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki s bigger plants in Hungary Poland and Romania by the end of the first quarter of 2009,"2009, gradually, of, s, ki",0.2,"Czech Republic, smaller profiling unit Ostrava closed machinery gradually relocated Ruukki ' s bigger plants Hungary, Poland Romania end first quarter 2009.","gradually, ru, unit, romania, smaller",0.2
142,neutral,"The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .","gradually, 2010, %, end, reach",The repo rate will gradually reach 2 at the end of 2010 according to Nordea s Economic Outlook,"gradually, 2010, outlook, 2, end",0.6,"repo rate gradually reach 2 % end 2010, according Nordea ' s Economic Outlook.","gradually, o, %, reach, end",0.8
143,positive,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .","increase, positive, the, ., operating",For the current year Raute expects its net sales to increase and the operating result to be positive,"increase, positive, be, sales, the",0.6,"current year, Raute expects net sales increase operating result - - positive.","increase, operating, positive, year, ,",0.6
144,negative,Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,"decreased, from, %, profit, to",Consolidated pretax profit decreased by 692 to EUR 410 mn from EUR 1331 mn in 2007,"decreased, by, from, in, 2",0.4,Consolidated pretax profit decreased 69. 2 % EUR 41. 0 mn EUR 133. 1 mn 2007.,"decreased, profit, %, 69, 2",0.6
